=========================================================================

  JBoss Bootstrap Environment

  JBOSS_HOME: /home/lambdadelta/Рабочий стол/аспирантура/1 год/geekbrains/Java EE/Домашние задания/Урок 1/wildfly-18.0.1.Final

  JAVA: java

  JAVA_OPTS:  -server -Xms64m -Xmx512m -XX:MetaspaceSize=96M -XX:MaxMetaspaceSize=256m -Djava.net.preferIPv4Stack=true -Djboss.modules.system.pkgs=org.jboss.byteman -Djava.awt.headless=true  --add-exports=java.base/sun.nio.ch=ALL-UNNAMED --add-exports=jdk.unsupported/sun.misc=ALL-UNNAMED --add-exports=jdk.unsupported/sun.reflect=ALL-UNNAMED

=========================================================================

04:02:42,049 INFO  [org.jboss.modules] (main) JBoss Modules version 1.9.1.Final
04:02:47,447 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0006: Undertow HTTP listener default listening on 127.0.0.1:8080
04:02:47,809 INFO  [org.jboss.as.ejb3] (MSC service thread 1-8) WFLYEJB0493: EJB subsystem suspension complete
04:02:47,953 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-7) WFLYJCA0001: Bound data source [java:jboss/datasources/ExampleDS]
04:02:48,159 INFO  [org.jboss.as.patching] (MSC service thread 1-7) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
04:02:48,201 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-4) WFLYDM0111: Keystore /home/lambdadelta/Рабочий стол/аспирантура/1 год/geekbrains/Java EE/Домашние задания/Урок 1/wildfly-18.0.1.Final/standalone/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
04:02:48,247 INFO  [org.jboss.as.server.deployment.scanner] (MSC service thread 1-8) WFLYDS0013: Started FileSystemDeploymentService for directory /home/lambdadelta/Рабочий стол/аспирантура/1 год/geekbrains/Java EE/Домашние задания/Урок 1/wildfly-18.0.1.Final/standalone/deployments
04:02:48,282 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-7) WFLYSRV0027: Starting deployment of "base-web-app.war" (runtime-name: "base-web-app.war")
04:02:48,406 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-3) WFLYUT0006: Undertow HTTPS listener https listening on 127.0.0.1:8443
04:02:48,538 INFO  [org.jboss.ws.common.management] (MSC service thread 1-6) JBWS022052: Starting JBossWS 5.3.0.Final (Apache CXF 3.3.3) 
04:02:49,852 INFO  [org.infinispan.factories.GlobalComponentRegistry] (MSC service thread 1-3) ISPN000128: Infinispan version: Infinispan 'Infinity Minus ONE +2' 9.4.16.Final
04:02:50,508 INFO  [org.jboss.as.clustering.infinispan] (ServerService Thread Pool -- 76) WFLYCLINF0002: Started client-mappings cache from ejb container
04:02:50,696 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 77) WFLYUT0021: Registered web context: '/base-web-app' for server 'default-server'
04:02:50,866 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0010: Deployed "base-web-app.war" (runtime-name : "base-web-app.war")
04:02:50,979 INFO  [org.jboss.as.server] (Controller Boot Thread) WFLYSRV0212: Resuming server
04:02:50,982 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0060: Http management interface listening on http://127.0.0.1:9990/management
04:02:50,983 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0051: Admin console listening on http://127.0.0.1:9990
04:02:50,983 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 18.0.1.Final (WildFly Core 10.0.3.Final) started in 9746ms - Started 416 of 642 services (374 services are lazy, passive or on-demand)
04:03:21,749 INFO  [org.jboss.as.repository] (management-handler-thread - 1) WFLYDR0001: Content added at location /home/lambdadelta/Рабочий стол/аспирантура/1 год/geekbrains/Java EE/Домашние задания/Урок 1/wildfly-18.0.1.Final/standalone/data/content/6d/a5a4bbc44fda650764588f6137a81c8af08c11/content
04:03:21,776 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 77) WFLYUT0022: Unregistered web context: '/base-web-app' from server 'default-server'
04:03:21,831 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0028: Stopped deployment base-web-app.war (runtime-name: base-web-app.war) in 64ms
04:03:21,839 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-3) WFLYSRV0027: Starting deployment of "base-web-app.war" (runtime-name: "base-web-app.war")
04:03:22,203 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 81) WFLYUT0021: Registered web context: '/base-web-app' for server 'default-server'
04:03:22,330 INFO  [org.jboss.as.server] (management-handler-thread - 1) WFLYSRV0016: Replaced deployment "base-web-app.war" with deployment "base-web-app.war"
04:03:22,334 INFO  [org.jboss.as.repository] (management-handler-thread - 1) WFLYDR0002: Content removed from location /home/lambdadelta/Рабочий стол/аспирантура/1 год/geekbrains/Java EE/Домашние задания/Урок 1/wildfly-18.0.1.Final/standalone/data/content/67/2f4e6b37c54da1ca56c3982eb8050f6a531e0b/content


